clade_name	Acinetobacter	Aerococcus	Alphabaculovirus	Betabaculovirus	Brevundimonas	Candidatus_Bathyarchaeota_unclassified	Candidatus_Heimdallarchaeota_unclassified	Candidatus_Ruthia	Candidatus_Scalindua	Cutibacterium	Cycloclasticus	Cyprinivirus	Enhydrobacter	Epsilon15virus	Erythrobacter	Gammaproteobacteria_unclassified	Gammaretrovirus	Lentivirus	Limimaricola	Macavirus	Malassezia	Marinobacterium	Methanococcoides	Methanosarcinales_unclassified	Micrococcus	Myoviridae_unclassified	P1virus	Podoviridae_unclassified	Pseudomonas	Rdjlvirus	Retroviridae_unclassified	Rhadinovirus	Siphoviridae_unclassified	Staphylococcus	Stenotrophomonas	Sulfurovum	Thaumarchaeota_unclassified	Thermoplasmatales_unclassified	Varicellovirus	Viruses_unclassified	Weissella
CS12_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204	0	0.00118	0	0.00516	0	0	0	0	0	0	0	0.00327	9.00E-05	0.06384	0	0	0
CS12_Fast_PCR_1.metaphlan3	0	0	0	0	0	0.0002	0.00027	0	0	0.00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02323	0	0	0	0.00423	0	0	0.00152	0	0	0	0.00067	0.00201	0.00021	0.05663	0	0	0
CS25_Cov_WGS.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60949	0	0	0	0.00556	0	0	0	0	0.00334	0	0	0	0	0.01941	0	0	0
CS25_enzy_WGS.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49782	0	0	0	0.00541	0	0	0	0.00129	0	0	0	0	0	0.01864	0	0	0
CS25_Fast_PCR_0.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4615	0	0	0	0.01042	0	0	0	0	0	0	0	0.00055	0	0.01927	0	0	0
CS25_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53774	0	0	0	0.00684	0	0	0	0	0.00084	0	0	0.00057	0	0.02229	0	0	0
CS25_Fast_PCR_1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48147	0	0.00145	0	0.00486	0	0	0	0	0	0	0	0	0	0.0166	0	0	0
CS26_Cov_WGS.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01091	0	0.00055	0	0.00072	0	0	0	0	0.00123	0	0	0	0	0.04009	0	0	0
CS26_enzy_WGS.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01021	0	0	0	0.00213	0	0	0	0	0.00036	0	0	0	0	0.03429	0	0	0
CS26_Fast_PCR_0.metaphlan3	0	0	0	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00598	0	0	0	0.00031	0	0	0	0	0	0	0	0	0	0.0322	0	0	0
